code,name
1,Klíčoví zákazníci (VIP)
2,Strategičtí zákazníci
3,Rostoucí zákazníci
4,Standardní zákazníci (velkoobchod)
5,Menší zákazníci (s nízkým obratem) maloobchod
6,Neaktivní klíčový partner
7,nechtějící
8,Dodavatel
