code,name
1,Celá ČR
2,Jihočeský
3,Jihomoravský
4,Karlovarský
5,Královehradecký
6,Liberecký
7,Moravskoslezský
8,Pardubický
9,Plzeňský
10,Praha
11,Středočeský
12,Ústecký
13,Vysočina
14,Zlínský
